original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;subgraph_entities_amount;subgraph_relation_names_amount;subgraph_relation_names
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_011;0.017;(0.6, 0.7);0.73;11;1460;50;11;[2, 8, 0, 1, 5, 6, 4, 3, 7, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_012;0.02;(0.6, 0.7);0.736;12;1471;50;11;[0, 1, 3, 5, 2, 7, 6, 9, 4, 8, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_013;0.019;(0.6, 0.7);0.72;13;1439;50;11;[5, 0, 1, 3, 2, 4, 7, 8, 6, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_014;0.014;(0.6, 0.7);0.722;14;1443;50;11;[0, 1, 3, 4, 2, 5, 6, 7, 8, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_015;0.013;(0.6, 0.7);0.723;15;1446;50;11;[0, 4, 2, 7, 1, 3, 5, 6, 9, 8, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_016;0.013;(0.6, 0.7);0.71;16;1420;50;11;[0, 4, 2, 7, 1, 3, 5, 6, 9, 8, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_017;0.013;(0.6, 0.7);0.726;17;1451;50;11;[2, 1, 0, 3, 4, 5, 9, 7, 6, 8, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_018;0.014;(0.6, 0.7);0.706;18;1411;50;11;[3, 0, 2, 1, 4, 7, 6, 5, 8, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_019;0.019;(0.6, 0.7);0.714;19;1428;50;11;[2, 3, 1, 7, 0, 4, 6, 8, 5, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_020;0.016;(0.6, 0.7);0.716;20;1431;50;11;[0, 1, 3, 2, 4, 6, 7, 8, 5, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_021;0.016;(0.6, 0.7);0.725;21;1449;50;11;[0, 1, 2, 8, 4, 5, 3, 6, 9, 7, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_022;0.017;(0.6, 0.7);0.712;22;1423;50;11;[0, 1, 7, 3, 6, 2, 5, 4, 9, 8, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_023;0.019;(0.6, 0.7);0.707;23;1414;50;11;[1, 0, 5, 9, 2, 4, 7, 3, 8, 6, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_024;0.034;(0.6, 0.7);0.716;24;1431;50;11;[0, 2, 5, 1, 8, 3, 4, 7, 6, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_025;0.022;(0.6, 0.7);0.726;25;1451;50;11;[0, 3, 4, 1, 2, 9, 5, 6, 8, 7, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_026;0.016;(0.6, 0.7);0.743;26;1485;50;11;[1, 2, 0, 3, 9, 4, 5, 8, 7, 6, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_027;0.014;(0.6, 0.7);0.721;27;1442;50;11;[0, 9, 1, 2, 3, 6, 4, 5, 8, 7, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_028;0.016;(0.6, 0.7);0.72;28;1439;50;11;[0, 1, 7, 3, 6, 2, 5, 8, 4, 9, 10]
Debug;Entity sampling;11;data\Debug_Entity_sampling_N60_min0.6\sub_029;0.014;(0.6, 0.7);0.706;29;1412;50;11;[0, 2, 3, 1, 4, 8, 5, 6, 10, 7, 9]
