2024-05-06 23:05:03 INFO     ### Saving logs in: logs\ComplEx_WN18RR ###
2024-05-06 23:10:08 INFO     	 valid MR: 5964.43 | MRR: 0.397 | H@1: 0.375 | H@3: 0.404 | H@10: 0.438 | AMRI: -0.000171 | MR_deviation: 227.000
2024-05-06 23:10:08 INFO     	 Saving model at epoch 39 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:10:16 INFO     	 Epoch 40 | average train loss: 4.5908
2024-05-06 23:10:16 INFO     	 Epoch 40 | average valid loss: 9.8032
2024-05-06 23:10:23 INFO     	 Epoch 41 | average train loss: 4.5798
2024-05-06 23:10:23 INFO     	 Epoch 41 | average valid loss: 9.7980
2024-05-06 23:10:30 INFO     	 Epoch 42 | average train loss: 4.5692
2024-05-06 23:10:30 INFO     	 Epoch 42 | average valid loss: 9.7968
2024-05-06 23:10:37 INFO     	 Epoch 43 | average train loss: 4.5589
2024-05-06 23:10:37 INFO     	 Epoch 43 | average valid loss: 9.7932
2024-05-06 23:10:45 INFO     	 Epoch 44 | average train loss: 4.5506
2024-05-06 23:10:45 INFO     	 Epoch 44 | average valid loss: 9.7968
2024-05-06 23:10:46 INFO     	 valid MR: 5980.76 | MRR: 0.398 | H@1: 0.376 | H@3: 0.406 | H@10: 0.438 | AMRI: -0.000171 | MR_deviation: 303.000
2024-05-06 23:10:46 INFO     	 Saving model at epoch 44 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:10:53 INFO     	 Epoch 45 | average train loss: 4.5404
2024-05-06 23:10:53 INFO     	 Epoch 45 | average valid loss: 9.7906
2024-05-06 23:11:01 INFO     	 Epoch 46 | average train loss: 4.5336
2024-05-06 23:11:01 INFO     	 Epoch 46 | average valid loss: 9.7902
2024-05-06 23:11:08 INFO     	 Epoch 47 | average train loss: 4.5248
2024-05-06 23:11:08 INFO     	 Epoch 47 | average valid loss: 9.7842
2024-05-06 23:11:15 INFO     	 Epoch 48 | average train loss: 4.5191
2024-05-06 23:11:15 INFO     	 Epoch 48 | average valid loss: 9.7829
2024-05-06 23:11:22 INFO     	 Epoch 49 | average train loss: 4.5101
2024-05-06 23:11:22 INFO     	 Epoch 49 | average valid loss: 9.7842
2024-05-06 23:11:24 INFO     	 valid MR: 5989.23 | MRR: 0.399 | H@1: 0.378 | H@3: 0.407 | H@10: 0.437 | AMRI: -0.000170 | MR_deviation: 302.000
2024-05-06 23:11:24 INFO     	 Saving model at epoch 49 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:11:31 INFO     	 Epoch 50 | average train loss: 4.5033
2024-05-06 23:11:31 INFO     	 Epoch 50 | average valid loss: 9.7819
2024-05-06 23:11:38 INFO     	 Epoch 51 | average train loss: 4.4959
2024-05-06 23:11:38 INFO     	 Epoch 51 | average valid loss: 9.7791
2024-05-06 23:11:46 INFO     	 Epoch 52 | average train loss: 4.4894
2024-05-06 23:11:46 INFO     	 Epoch 52 | average valid loss: 9.7734
2024-05-06 23:11:53 INFO     	 Epoch 53 | average train loss: 4.4838
2024-05-06 23:11:53 INFO     	 Epoch 53 | average valid loss: 9.7714
2024-05-06 23:12:00 INFO     	 Epoch 54 | average train loss: 4.4754
2024-05-06 23:12:00 INFO     	 Epoch 54 | average valid loss: 9.7683
2024-05-06 23:12:02 INFO     	 valid MR: 5996.96 | MRR: 0.400 | H@1: 0.379 | H@3: 0.409 | H@10: 0.437 | AMRI: -0.000170 | MR_deviation: 435.000
2024-05-06 23:12:02 INFO     	 Saving model at epoch 54 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:12:09 INFO     	 Epoch 55 | average train loss: 4.4698
2024-05-06 23:12:09 INFO     	 Epoch 55 | average valid loss: 9.7668
2024-05-06 23:12:16 INFO     	 Epoch 56 | average train loss: 4.4654
2024-05-06 23:12:16 INFO     	 Epoch 56 | average valid loss: 9.7684
2024-05-06 23:12:23 INFO     	 Epoch 57 | average train loss: 4.4614
2024-05-06 23:12:23 INFO     	 Epoch 57 | average valid loss: 9.7635
2024-05-06 23:12:31 INFO     	 Epoch 58 | average train loss: 4.4559
2024-05-06 23:12:31 INFO     	 Epoch 58 | average valid loss: 9.7619
2024-05-06 23:12:38 INFO     	 Epoch 59 | average train loss: 4.4492
2024-05-06 23:12:38 INFO     	 Epoch 59 | average valid loss: 9.7623
2024-05-06 23:12:39 INFO     	 valid MR: 6004.73 | MRR: 0.401 | H@1: 0.379 | H@3: 0.409 | H@10: 0.437 | AMRI: -0.000169 | MR_deviation: 431.000
2024-05-06 23:12:39 INFO     	 Saving model at epoch 59 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:12:47 INFO     	 Epoch 60 | average train loss: 4.4447
2024-05-06 23:12:47 INFO     	 Epoch 60 | average valid loss: 9.7627
2024-05-06 23:12:54 INFO     	 Epoch 61 | average train loss: 4.4394
2024-05-06 23:12:54 INFO     	 Epoch 61 | average valid loss: 9.7561
2024-05-06 23:13:01 INFO     	 Epoch 62 | average train loss: 4.4355
2024-05-06 23:13:01 INFO     	 Epoch 62 | average valid loss: 9.7552
2024-05-06 23:13:08 INFO     	 Epoch 63 | average train loss: 4.4301
2024-05-06 23:13:08 INFO     	 Epoch 63 | average valid loss: 9.7517
2024-05-06 23:13:16 INFO     	 Epoch 64 | average train loss: 4.4257
2024-05-06 23:13:16 INFO     	 Epoch 64 | average valid loss: 9.7548
2024-05-06 23:13:17 INFO     	 valid MR: 6006.23 | MRR: 0.402 | H@1: 0.381 | H@3: 0.409 | H@10: 0.437 | AMRI: -0.000169 | MR_deviation: 477.000
2024-05-06 23:13:17 INFO     	 Saving model at epoch 64 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:13:24 INFO     	 Epoch 65 | average train loss: 4.4218
2024-05-06 23:13:24 INFO     	 Epoch 65 | average valid loss: 9.7525
2024-05-06 23:13:32 INFO     	 Epoch 66 | average train loss: 4.4170
2024-05-06 23:13:32 INFO     	 Epoch 66 | average valid loss: 9.7520
2024-05-06 23:13:39 INFO     	 Epoch 67 | average train loss: 4.4127
2024-05-06 23:13:39 INFO     	 Epoch 67 | average valid loss: 9.7471
2024-05-06 23:13:47 INFO     	 Epoch 68 | average train loss: 4.4085
2024-05-06 23:13:47 INFO     	 Epoch 68 | average valid loss: 9.7466
2024-05-06 23:13:54 INFO     	 Epoch 69 | average train loss: 4.4051
2024-05-06 23:13:54 INFO     	 Epoch 69 | average valid loss: 9.7453
2024-05-06 23:13:57 INFO     	 valid MR: 6008.30 | MRR: 0.403 | H@1: 0.382 | H@3: 0.411 | H@10: 0.439 | AMRI: -0.000169 | MR_deviation: 515.000
2024-05-06 23:13:57 INFO     	 Saving model at epoch 69 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:14:04 INFO     	 Epoch 70 | average train loss: 4.4011
2024-05-06 23:14:04 INFO     	 Epoch 70 | average valid loss: 9.7440
2024-05-06 23:14:11 INFO     	 Epoch 71 | average train loss: 4.3978
2024-05-06 23:14:11 INFO     	 Epoch 71 | average valid loss: 9.7418
2024-05-06 23:14:19 INFO     	 Epoch 72 | average train loss: 4.3942
2024-05-06 23:14:19 INFO     	 Epoch 72 | average valid loss: 9.7376
2024-05-06 23:14:26 INFO     	 Epoch 73 | average train loss: 4.3911
2024-05-06 23:14:26 INFO     	 Epoch 73 | average valid loss: 9.7379
2024-05-06 23:14:33 INFO     	 Epoch 74 | average train loss: 4.3879
2024-05-06 23:14:33 INFO     	 Epoch 74 | average valid loss: 9.7366
2024-05-06 23:14:34 INFO     	 valid MR: 6003.91 | MRR: 0.403 | H@1: 0.383 | H@3: 0.410 | H@10: 0.439 | AMRI: -0.000169 | MR_deviation: 661.000
2024-05-06 23:14:34 INFO     	 Saving model at epoch 74 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:14:41 INFO     	 Epoch 75 | average train loss: 4.3835
2024-05-06 23:14:41 INFO     	 Epoch 75 | average valid loss: 9.7322
2024-05-06 23:14:49 INFO     	 Epoch 76 | average train loss: 4.3808
2024-05-06 23:14:49 INFO     	 Epoch 76 | average valid loss: 9.7341
2024-05-06 23:14:56 INFO     	 Epoch 77 | average train loss: 4.3767
2024-05-06 23:14:56 INFO     	 Epoch 77 | average valid loss: 9.7290
2024-05-06 23:15:03 INFO     	 Epoch 78 | average train loss: 4.3743
2024-05-06 23:15:03 INFO     	 Epoch 78 | average valid loss: 9.7305
2024-05-06 23:15:10 INFO     	 Epoch 79 | average train loss: 4.3710
2024-05-06 23:15:10 INFO     	 Epoch 79 | average valid loss: 9.7261
2024-05-06 23:15:12 INFO     	 valid MR: 6003.41 | MRR: 0.404 | H@1: 0.384 | H@3: 0.411 | H@10: 0.439 | AMRI: -0.000169 | MR_deviation: 760.000
2024-05-06 23:15:12 INFO     	 Saving model at epoch 79 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:15:19 INFO     	 Epoch 80 | average train loss: 4.3689
2024-05-06 23:15:19 INFO     	 Epoch 80 | average valid loss: 9.7257
